Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
28/08/20,26.58,26.68,26.46,26.65,-0.14,-0.52,125319
27/08/20,26.9,26.97,26.79,26.79,0.13,0.49,148689
26/08/20,26.8,26.84,26.65,26.66,-0.28,-1.04,87092
25/08/20,26.97,27.01,26.86,26.94,-0.03,-0.11,122031
24/08/20,27,27.04,26.92,26.97,-0.1,-0.37,73973
21/08/20,27.13,27.18,26.97,27.07,-0.08,-0.29,48466
20/08/20,26.9,27.24,26.8,27.15,-0.33,-1.2,88639
19/08/20,27.69,27.69,27.37,27.48,-0.21,-0.76,110496
18/08/20,27.54,27.69,27.41,27.69,0.58,2.14,96291
17/08/20,27.12,27.13,26.9,27.11,-0.23,-0.84,181650
14/08/20,27.36,27.48,27.3,27.34,0.38,1.41,210420
13/08/20,26.77,27.1,26.77,26.96,0.52,1.97,224119
12/08/20,26.86,27.01,26.3,26.44,-1.54,-5.5,369684
11/08/20,28.39,28.39,27.92,27.98,-0.42,-1.48,113429
10/08/20,28.39,28.45,28.29,28.4,-0.24,-0.84,127367
7/08/20,28.68,28.8,28.48,28.64,0.19,0.67,354885
6/08/20,28.34,28.5,28.25,28.45,0.23,0.82,115209
5/08/20,28.23,28.32,27.98,28.22,0.43,1.55,166654
4/08/20,27.7,27.81,27.7,27.79,0.05,0.18,78621
3/08/20,27.7,27.82,27.58,27.74,0.31,1.13,188970
31/07/20,27.25,27.43,27.13,27.43,0.08,0.29,80949
30/07/20,27.4,27.46,27.31,27.35,0.04,0.15,139896
29/07/20,27.4,27.45,27.21,27.31,0.04,0.15,135453
28/07/20,27.41,27.67,27.1,27.27,0.12,0.44,284850
27/07/20,26.99,27.21,26.9,27.15,0.47,1.76,242601
24/07/20,26.5,26.69,26.47,26.68,0.49,1.87,128071
23/07/20,26.3,26.3,26.13,26.19,0.18,0.69,59159
22/07/20,26,26.13,25.85,26.01,0.11,0.42,53549
21/07/20,26,26,25.85,25.9,-0.02,-0.08,137932
20/07/20,25.95,25.96,25.86,25.92,0.12,0.47,39667
17/07/20,25.87,25.87,25.7,25.8,-0.1,-0.39,27231
16/07/20,25.95,25.97,25.86,25.9,0.01,0.04,98724
15/07/20,26,26,25.8,25.89,-0.06,-0.23,87526
14/07/20,25.97,26.03,25.85,25.95,0,0,61690
13/07/20,26,26,25.89,25.95,-0.05,-0.19,61026
10/07/20,26,26.04,25.92,26,0,0,50628
9/07/20,25.85,26,25.81,26,0.15,0.58,75064
8/07/20,25.9,25.92,25.76,25.85,0.17,0.66,33819
7/07/20,25.7,25.7,25.54,25.68,0.23,0.9,28745
6/07/20,25.63,25.63,25.45,25.45,-0.1,-0.39,47638
3/07/20,25.72,25.73,25.55,25.55,0,0,40246
2/07/20,25.7,25.91,25.54,25.55,-0.36,-1.39,213989
1/07/20,25.94,25.94,25.72,25.91,0.14,0.54,52399
30/06/20,25.83,25.85,25.67,25.77,-0.06,-0.23,79270
29/06/20,25.85,25.89,25.7,25.83,0.23,0.9,86391
26/06/20,25.7,25.7,25.52,25.6,-0.1,-0.39,72296
25/06/20,25.75,25.77,25.61,25.7,0.16,0.63,61006
24/06/20,25.5,25.57,25.42,25.54,0.1,0.39,69769
23/06/20,25.5,25.66,25.27,25.44,-0.18,-0.7,109483
22/06/20,25.5,25.73,25.5,25.62,0.44,1.75,127024
